Variable Name,Label
M2ID,MIDUS 2 ID number
M2FAMNUM,MIDUS 2 Family number
SAMPLMAJ,Major sample identification
B1PAGE_M2,Respondent's calculated age at MIDUS 2 Project 1 phone interview
B1PRAGE_2019,"Respondent's calculated age at MIDUS 2 Project 1 phone interview, updated as of 2019"
B1PRSEX,Respondent's sex
B3PIDATE_MO,Month of interview
B3PIDATE_YR,Year of interview
B3TWLIFP,Word List Immediate flagged problematic?
B3TWLI1,Word List Immediate: Recalled word 1
B3TWLI2,Word List Immediate: Recalled word 2
B3TWLI3,Word List Immediate: Recalled word 3
B3TWLI4,Word List Immediate: Recalled word 4
B3TWLI5,Word List Immediate: Recalled word 5
B3TWLI6,Word List Immediate: Recalled word 6
B3TWLI7,Word List Immediate: Recalled word 7
B3TWLI8,Word List Immediate: Recalled word 8
B3TWLI9,Word List Immediate: Recalled word 9
B3TWLI10,Word List Immediate: Recalled word 10
B3TWLI11,Word List Immediate: Recalled word 11
B3TWLI12,Word List Immediate: Recalled word 12
B3TWLI13,Word List Immediate: Recalled word 13
B3TWLI14,Word List Immediate: Recalled word 14
B3TWLI15,Word List Immediate: Recalled word 15
B3TWLI16,Word List Immediate: Recalled word 16
B3TWLI17,Word List Immediate: Recalled word 17
B3TWLI18,Word List Immediate: Recalled word 18
B3TWLI19,Word List Immediate: Recalled word 19
B3TWLI20,Word List Immediate: Recalled word 20
B3TWLI21,Word List Immediate: Recalled word 21
B3TWLI22,Word List Immediate: Recalled word 22
B3TWLI23,Word List Immediate: Recalled word 23
B3TWLI24,Word List Immediate: Recalled word 24
B3TWLI25,Word List Immediate: Recalled word 25
B3TWLI26,Word List Immediate: Recalled word 26
B3TWLITU,Word List Immediate: Total unique words recalled
B3TWLITR,Word List Immediate: Total repetitions
B3TWLITI,Word List Immediate: Total intrusions
B3TDBFP,Digits Backward flagged problematic?
B3TDBS,Digits Backward: highest number digits recall
B3TCTFFP,Category Fluency flagged problematic?
B3TCTFLU,Category Fluency: Total unique items
B3TCTFLR,Category Fluency: Total repetitions
B3TCTFLI,Category Fluency: Total intrusions
B3TNSFP,Number Series flagged problematic?
B3TNS1,Number Series 1: Response
B3TNS2,Number Series 2: Response
B3TNS3,Number Series 3: Response
B3TNS4,Number Series 4: Response
B3TNS5,Number Series 5: Response
B3TNS1C,Number Series 1: Correct?
B3TNS2C,Number Series 2: Correct?
B3TNS3C,Number Series 3: Correct?
B3TNS4C,Number Series 4: Correct?
B3TNS5C,Number Series 5: Correct?
B3TNSTOT,Number Series: Total correct
B3TBKFP,Backward Counting flagged problematic?
B3TBKCT,Backward Counting: Last number reached
B3TBKERR,Backward Counting: Number of errors
B3TBKTOT,Backward Counting: Total number counted Correctly (100-(B3TBKCT+B3TBKERR))
B3TWLDFP,Word List Delayed flagged problematic?
B3TWLD1,Word List Delayed: Recalled word 1
B3TWLD2,Word List Delayed: Recalled word 2
B3TWLD3,Word List Delayed: Recalled word 3
B3TWLD4,Word List Delayed: Recalled word 4
B3TWLD5,Word List Delayed: Recalled word 5
B3TWLD6,Word List Delayed: Recalled word 6
B3TWLD7,Word List Delayed: Recalled word 7
B3TWLD8,Word List Delayed: Recalled word 8
B3TWLD9,Word List Delayed: Recalled word 9
B3TWLD10,Word List Delayed: Recalled word 10
B3TWLD11,Word List Delayed: Recalled word 11
B3TWLD12,Word List Delayed: Recalled word 12
B3TWLD13,Word List Delayed: Recalled word 13
B3TWLD14,Word List Delayed: Recalled word 14
B3TWLD15,Word List Delayed: Recalled word 15
B3TWLD16,Word List Delayed: Recalled word 16
B3TWLD17,Word List Delayed: Recalled word 17
B3TWLD18,Word List Delayed: Recalled word 18
B3TWLD19,Word List Delayed: Recalled word 19
B3TWLD20,Word List Delayed: Recalled word 20
B3TWLD21,Word List Delayed: Recalled word 21
B3TWLD22,Word List Delayed: Recalled word 22
B3TWLD23,Word List Delayed: Recalled word 23
B3TWLD24,Word List Delayed: Recalled word 24
B3TWLD25,Word List Delayed: Recalled word 25
B3TWLD26,Word List Delayed: Recalled word 26
B3TWLDTU,Word List Delayed: Total unique words recalled
B3TWLDTR,Word List Delayed: Total repetitions
B3TWLDTI,Word List Delayed: Total intrusions
B3TWLF,Word List: Proportion forgot between immediate and delayed
B3TCOMPZ1,Zscore BTACT Composite Score - computed for MIDUS national sample only (N=4206)
B3TEMZ1,Zscore Episodic Memory - computed for MIDUS national sample only (N=4206)
B3TEFZ1,Zscore Executive Functioning - computed for MIDUS national sample only (N=4206)
B3TCOMPZ2,Zscore BTACT Composite Score - computed for Milwaukee sample only (N=306)
B3TEMZ2,Zscore Episodic Memory - computed for Milwaukee sample only (N=306)
